Date,HomeTeam,AwayTeam,FTHG,FTAG,HR,AR,BbMxH,BbMxA,BbAHh,BbMxAHH,BbMxAHA
18/08/2018,Waasland-Beveren,St Truiden,2,2,0,0,3.04,2.4,0.25,1.9,2.05
19/08/2018,Antwerp,Club Brugge,1,1,0,0,3.8,2.16,0.25,2.09,1.85
19/08/2018,Eupen,Gent,2,3,0,1,5.25,1.71,0.75,2.06,1.88
19/08/2018,Genk,Charleroi,3,1,0,0,1.45,7.5,-1.25,1.99,1.96
24/08/2018,Oostende,Waregem,3,1,0,0,3.25,2.25,0.25,2.02,1.95
25/08/2018,Antwerp,Cercle Brugge,1,0,1,0,1.69,5.75,-1,2.2,1.8
25/08/2018,Charleroi,Kortrijk,0,2,0,0,1.73,6,-1,2.2,1.8
25/08/2018,Mouscron,Eupen,0,1,0,0,2.5,3,-0.25,2.14,1.82
25/08/2018,Standard,St Truiden,3,2,0,0,1.6,6.13,-1,1.96,1.98
26/08/2018,Club Brugge,Anderlecht,2,1,0,0,1.94,4.2,-0.75,2.21,1.77
26/08/2018,Genk,Waasland-Beveren,3,2,0,0,1.3,15,-1.75,1.96,2.01
26/08/2018,Gent,Lokeren,2,1,0,0,1.35,13,-1.5,1.97,2.08
31/08/2018,Waregem,Club Brugge,2,5,0,0,3.1,2.27,0.25,1.98,1.98
01/09/2018,Charleroi,Mouscron,3,1,0,0,1.64,6,-1,2.11,1.86
01/09/2018,Eupen,Standard,2,1,0,0,5.56,1.67,1,1.88,2.1
01/09/2018,Lokeren,Waasland-Beveren,1,0,0,0,2.27,3.5,-0.25,1.95,2
01/09/2018,St Truiden,Oostende,1,0,0,0,1.98,3.81,-0.5,2,1.97
02/09/2018,Anderlecht,Antwerp,1,1,0,0,1.75,5.07,-1,2.33,1.71
02/09/2018,Cercle Brugge,Gent,0,3,0,0,3.3,2.22,0.25,2,1.94
02/09/2018,Kortrijk,Genk,3,3,0,1,4.4,1.79,0.75,1.96,1.99
14/09/2018,Club Brugge,Lokeren,2,1,0,0,1.21,16.67,-2,1.97,1.96
15/09/2018,Genk,Anderlecht,1,0,0,0,1.92,4,-0.75,2.17,1.79
15/09/2018,Oostende,Cercle Brugge,1,1,0,0,2.23,3.4,-0.25,1.94,1.99
15/09/2018,Standard,Charleroi,0,0,1,0,1.6,6.5,-1,2.06,1.88
15/09/2018,Waasland-Beveren,Eupen,0,0,0,0,2.36,3.1,-0.25,2.05,1.92
16/09/2018,Antwerp,Waregem,5,1,0,1,1.92,4.2,-0.75,2.2,1.77
16/09/2018,Gent,St Truiden,1,2,0,1,1.54,6.69,-1,1.93,2.02
16/09/2018,Mouscron,Kortrijk,1,0,0,0,3.1,2.43,0.25,1.92,1.97
21/09/2018,Waregem,Kortrijk,0,2,0,0,1.74,4.75,-1,2.29,1.74
22/09/2018,Eupen,Oostende,1,2,0,0,2.32,3.11,-0.25,2.01,1.94
22/09/2018,Lokeren,Mouscron,0,0,0,0,2.18,3.85,-0.25,1.87,2.07
22/09/2018,St Truiden,Antwerp,2,0,0,0,3.13,2.45,0.25,1.83,2.13
